ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF666QVW	MCF-7	TARDBP	MCF7	2959575	16434	25000	9643	3036	81
ENCFF667FDX	HepG2	TIGD6	MCF7	2959575	16434	25000	13817	2247	103
ENCFF667MEL	HepG2	ZNF609	MCF7	2959575	16434	25000	25049	3163	203
ENCFF668GIP	HepG2	PRDM10	MCF7	2959575	16434	25000	17894	3010	149
ENCFF669MJX	K562	HDAC1	MCF7	2959575	16434	25000	16397	2335	137
ENCFF669MLA	HepG2	ZKSCAN5	MCF7	2959575	16434	25000	5118	732	39
ENCFF669RAT	A549	TP63	MCF7	2959575	16434	25000	3026	761	25
ENCFF669RLC	K562	NUFIP1	MCF7	2959575	16434	25000	2417	386	22
ENCFF669TCB	HepG2	ZNF7	MCF7	2959575	16434	25000	8201	631	55
ENCFF669UYG	A549	CHD4	MCF7	2959575	16434	25000	3137	378	27
ENCFF670IOD	HepG2	ZNF761	MCF7	2959575	16434	25000	16229	2559	115
ENCFF670KBU	HepG2	TSC22D1	MCF7	2959575	16434	25000	5606	986	51
ENCFF670POK	K562	NBN	MCF7	2959575	16434	25000	19305	2808	159
ENCFF670RLH	K562	ZNF79	MCF7	2959575	16434	25000	3332	294	33
ENCFF670UIE	A549	HOXA7	MCF7	2959575	16434	25000	7595	1467	61
ENCFF671ZGP	K562	HES1	MCF7	2959575	16434	25000	9132	953	81
ENCFF672NSF	MCF-7	CEBPG	MCF7	2959575	16434	25000	15329	1350	115
ENCFF672PJF	K562	ZNF232	MCF7	2959575	16434	25000	4645	719	38
ENCFF672RKS	HepG2	PBX3	MCF7	2959575	16434	25000	4247	835	32
ENCFF672ZEZ	HepG2	ZNF747	MCF7	2959575	16434	25000	16469	2744	114
ENCFF672ZQW	K562	HMBOX1	MCF7	2959575	16434	25000	29353	1919	271
ENCFF674BRV	HepG2	JRK	MCF7	2959575	16434	25000	15677	2442	121
ENCFF674KVR	K562	KLF1	MCF7	2959575	16434	25000	9096	1559	72
ENCFF674ZQI	K562	MCM7	MCF7	2959575	16434	25000	1926	54	18
ENCFF675SAG	MCF-7	ZNF507	MCF7	2959575	16434	25000	3025	691	19
ENCFF676NOU	HepG2	REPIN1	MCF7	2959575	16434	25000	25053	3956	187
ENCFF678IWM	HepG2	ZNF678	MCF7	2959575	16434	25000	7745	1359	63
ENCFF678TFE	K562	CTCFL	MCF7	2959575	16434	25000	12856	1990	118
ENCFF678TXX	K562	BACH1	MCF7	2959575	16434	25000	15766	1554	135
ENCFF679WUD	A549	TFCP2L1	MCF7	2959575	16434	25000	6739	1643	48
ENCFF680JFD	HepG2	TEAD2	MCF7	2959575	16434	25000	3292	576	26
ENCFF680JMZ	MCF-7	REST	MCF7	2959575	16434	25000	10614	1562	76
ENCFF681MRC	A549	POLR2A	MCF7	2959575	16434	25000	19595	3492	141
ENCFF681YLP	K562	HBP1	MCF7	2959575	16434	25000	10272	1229	96
ENCFF682ESJ	HepG2	HSF1	MCF7	2959575	16434	25000	1383	238	13
ENCFF682NJA	HepG2	FUS	MCF7	2959575	16434	25000	7734	1195	70
ENCFF682RGC	HepG2	IKZF1	MCF7	2959575	16434	25000	1474	27	16
ENCFF682RGD	HepG2	PHF21A	MCF7	2959575	16434	25000	37385	4929	291
ENCFF683CTP	HepG2	ZNF124	MCF7	2959575	16434	25000	16028	2672	122
ENCFF683VTL	K562	ZNF24	MCF7	2959575	16434	25000	13089	1075	129
ENCFF683VXW	K562	ZBTB34	MCF7	2959575	16434	25000	1551	152	14
ENCFF683WRK	K562	E4F1	MCF7	2959575	16434	25000	35520	4423	274
ENCFF684UHQ	HepG2	HMGXB3	MCF7	2959575	16434	25000	16064	2744	122
ENCFF685HMV	MCF-7	CTCF	MCF7	2959575	16434	25000	65820	6497	566
ENCFF685UPN	HepG2	ZBTB34	MCF7	2959575	16434	25000	13881	2046	116
ENCFF686MSH	A549	FOXA2	MCF7	2959575	16434	25000	33329	4554	262
ENCFF687TJX	HepG2	NFKB2	MCF7	2959575	16434	25000	21928	3575	193
ENCFF688UTO	HepG2	HOXA9	MCF7	2959575	16434	25000	7612	1281	50
ENCFF689CDE	HepG2	MZF1	MCF7	2959575	16434	25000	4138	749	23
ENCFF691DTG	HepG2	CHD4	MCF7	2959575	16434	25000	14814	1520	117
ENCFF691JZW	K562	RBPJ	MCF7	2959575	16434	25000	2182	281	18
ENCFF692TRI	HepG2	PRPF4	MCF7	2959575	16434	25000	3920	532	34
ENCFF693LFI	A549	KDM1A	MCF7	2959575	16434	25000	7064	521	62
ENCFF695PDY	K562	ELF2	MCF7	2959575	16434	25000	9364	1535	74
ENCFF695VVI	HepG2	PHF5A	MCF7	2959575	16434	25000	11191	2008	77
ENCFF696OTJ	HepG2	TFAP4	MCF7	2959575	16434	25000	29298	3666	220
ENCFF696QTC	HepG2	ZBTB42	MCF7	2959575	16434	25000	9273	1574	73
ENCFF697DRN	K562	ZKSCAN3	MCF7	2959575	16434	25000	1032	62	16
ENCFF697VRJ	K562	LEF1	MCF7	2959575	16434	25000	5054	765	43
ENCFF698ITQ	HepG2	ZNF143	MCF7	2959575	16434	25000	14083	2288	105
ENCFF699IZY	MCF-7	ZNF227	MCF7	2959575	16434	25000	2054	461	13
ENCFF699UTZ	A549	TP53	MCF7	2959575	16434	25000	6292	1606	45
ENCFF700GPU	HepG2	PBX2	MCF7	2959575	16434	25000	6459	873	40
ENCFF700VSW	K562	HNRNPUL1	MCF7	2959575	16434	25000	1035	151	12
ENCFF701DTE	HepG2	TP53	MCF7	2959575	16434	25000	7671	1422	70
ENCFF701NLW	HepG2	HOXA7	MCF7	2959575	16434	25000	2294	330	9
ENCFF701RWL	K562	ZNF561	MCF7	2959575	16434	25000	1622	202	14
ENCFF702THZ	K562	KDM2B	MCF7	2959575	16434	25000	5208	743	50
ENCFF702UDA	HepG2	ZNF468	MCF7	2959575	16434	25000	5061	876	35
ENCFF702XIF	A549	KDM5A	MCF7	2959575	16434	25000	5307	786	30
ENCFF702XPO	K562	EP300	MCF7	2959575	16434	25000	28734	2658	233
ENCFF703APN	HepG2	ZNF490	MCF7	2959575	16434	25000	5008	744	38
ENCFF704PGT	K562	CCAR2	MCF7	2959575	16434	25000	538	91	5
ENCFF705SFR	K562	TSC22D4	MCF7	2959575	16434	25000	1557	40	10
ENCFF706SJT	HepG2	ZNF25	MCF7	2959575	16434	25000	7102	1361	48
ENCFF707SJC	HepG2	DLX6	MCF7	2959575	16434	25000	19664	2735	139
ENCFF708HLM	A549	HMGXB4	MCF7	2959575	16434	25000	4171	976	22
ENCFF708IYN	K562	XRCC5	MCF7	2959575	16434	25000	12309	2677	99
ENCFF708ZFL	HepG2	ZNF219	MCF7	2959575	16434	25000	45782	5634	332
ENCFF710LLF	K562	TAF15	MCF7	2959575	16434	25000	705	123	5
ENCFF710TSK	HepG2	SAFB2	MCF7	2959575	16434	25000	11927	2032	92
ENCFF710UAZ	K562	E2F3	MCF7	2959575	16434	25000	8614	1358	70
ENCFF710YFH	K562	SREBF2	MCF7	2959575	16434	25000	1652	264	18
ENCFF711ZED	K562	FOXM1	MCF7	2959575	16434	25000	15476	1403	107
ENCFF712AVW	HepG2	USF1	MCF7	2959575	16434	25000	24232	2190	201
ENCFF712FZW	K562	JUN	MCF7	2959575	16434	25000	9900	1418	86
ENCFF712HHN	HepG2	ETV5	MCF7	2959575	16434	25000	32119	4481	253
ENCFF713RHL	A549	MAX	MCF7	2959575	16434	25000	43763	7248	329
ENCFF714AQQ	HepG2	HES4	MCF7	2959575	16434	25000	13112	1981	101
ENCFF715QJD	HepG2	TCF7	MCF7	2959575	16434	25000	19425	1487	177
ENCFF715WGN	K562	ELK1	MCF7	2959575	16434	25000	3794	836	27
ENCFF716HAB	HepG2	AKAP8	MCF7	2959575	16434	25000	14388	2048	115
ENCFF716VWY	A549	SREBF2	MCF7	2959575	16434	25000	605	63	6
ENCFF718ZFY	K562	NFYB	MCF7	2959575	16434	25000	10004	786	86
ENCFF719BHI	A549	PRDM1	MCF7	2959575	16434	25000	14557	2546	110
ENCFF720DYW	HepG2	ZNF318	MCF7	2959575	16434	25000	8058	1340	60
ENCFF722RWS	K562	SMARCA5	MCF7	2959575	16434	25000	17189	1463	118
ENCFF722UJW	K562	CHD7	MCF7	2959575	16434	25000	1178	166	5
ENCFF723FTT	A549	JUN	MCF7	2959575	16434	25000	36677	6377	271
ENCFF723WCO	HepG2	THAP8	MCF7	2959575	16434	25000	5928	1069	40
ENCFF724CHN	K562	IRF9	MCF7	2959575	16434	25000	7461	604	68
ENCFF724DNU	K562	POU5F1	MCF7	2959575	16434	25000	2090	421	17
ENCFF725ZBA	HepG2	ZBTB7B	MCF7	2959575	16434	25000	28647	3856	229
ENCFF726AMU	HepG2	PRMT3	MCF7	2959575	16434	25000	6484	1126	62
ENCFF726LLI	K562	NFIX	MCF7	2959575	16434	25000	5617	239	44
ENCFF727JXN	K562	RHOXF2B	MCF7	2959575	16434	25000	2787	476	34
ENCFF727SKX	HepG2	SNAPC2	MCF7	2959575	16434	25000	13623	2175	116
ENCFF728MNA	MCF-7	SIX4	MCF7	2959575	16434	25000	2148	440	19
ENCFF728MPA	MCF-7	RAD21	MCF7	2959575	16434	25000	52283	7078	465
ENCFF729DNM	K562	DACH1	MCF7	2959575	16434	25000	16921	1313	141
ENCFF730QQD	K562	SMAD2	MCF7	2959575	16434	25000	133	26	0
ENCFF731RBX	HepG2	ZNF329	MCF7	2959575	16434	25000	11018	1773	79
