ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF206BGR	K562	ATF1	HepG2	2959575	15836	25000	16938	910	159
ENCFF206KPV	HepG2	SMAD3	HepG2	2959575	15836	25000	20776	5528	177
ENCFF206LMB	K562	THAP12	HepG2	2959575	15836	25000	10143	317	96
ENCFF207MLR	K562	ZNF408	HepG2	2959575	15836	25000	666	12	4
ENCFF207XCM	K562	ZNF140	HepG2	2959575	15836	25000	1145	52	10
ENCFF208OME	K562	ZNF700	HepG2	2959575	15836	25000	2282	108	18
ENCFF209DVO	K562	ZBTB2	HepG2	2959575	15836	25000	16476	798	157
ENCFF209MHH	HepG2	CERS6	HepG2	2959575	15836	25000	2540	251	20
ENCFF209WPT	K562	TEAD2	HepG2	2959575	15836	25000	4595	374	40
ENCFF209ZVL	A549	HES2	HepG2	2959575	15836	25000	4250	720	41
ENCFF211TTD	K562	NONO	HepG2	2959575	15836	25000	5910	118	42
ENCFF214ICQ	MCF-7	ESRRA	HepG2	2959575	15836	25000	8670	786	65
ENCFF214SNH	K562	TEAD1	HepG2	2959575	15836	25000	18171	905	160
ENCFF215FJJ	HepG2	ZNF841	HepG2	2959575	15836	25000	4254	425	37
ENCFF215JWS	K562	PHF21A	HepG2	2959575	15836	25000	7067	332	58
ENCFF215KQQ	A549	POLR2AphosphoS2	HepG2	2959575	15836	25000	5884	393	54
ENCFF215UIS	HepG2	ZNF660	HepG2	2959575	15836	25000	1467	153	12
ENCFF216ISR	HepG2	NR1H2	HepG2	2959575	15836	25000	4744	615	32
ENCFF216JWP	HepG2	ZNF710	HepG2	2959575	15836	25000	23351	6184	187
ENCFF216KLB	HepG2	ZFP91	HepG2	2959575	15836	25000	42389	5946	344
ENCFF216VXG	HepG2	ZNF580	HepG2	2959575	15836	25000	22488	4970	170
ENCFF217LXF	K562	SMARCB1	HepG2	2959575	15836	25000	2394	150	18
ENCFF217MBF	K562	SRSF7	HepG2	2959575	15836	25000	256	2	1
ENCFF217STG	HepG2	EEA1	HepG2	2959575	15836	25000	9304	908	66
ENCFF217XUD	HepG2	GABPB1	HepG2	2959575	15836	25000	42527	5360	336
