ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF130OKL	HepG2	ZNF217	A549	2959575	18142	25000	31670	5520	243
ENCFF130WQT	K562	PHTF2	A549	2959575	18142	25000	1611	318	14
ENCFF130ZHU	HepG2	ZNF557	A549	2959575	18142	25000	8569	2645	65
ENCFF131TYZ	MCF-7	SRF	A549	2959575	18142	25000	10137	3053	89
ENCFF132AJP	HepG2	MLX	A549	2959575	18142	25000	15818	3467	119
ENCFF132DPY	K562	ZBTB40	A549	2959575	18142	25000	5054	447	39
ENCFF132RKR	HepG2	KAT2B	A549	2959575	18142	25000	2597	199	15
ENCFF133TSU	K562	ELF1	A549	2959575	18142	25000	20735	5589	169
ENCFF133VHU	HepG2	HDAC1	A549	2959575	18142	25000	19083	5745	154
ENCFF133ZSB	A549	FOSB	A549	2959575	18142	25000	6495	2501	50
ENCFF134HBP	K562	U2AF2	A549	2959575	18142	25000	127	0	1
ENCFF135VAJ	HepG2	ZNF33B	A549	2959575	18142	25000	10726	3414	73
ENCFF137JHO	A549	ZFP36	A549	2959575	18142	25000	11348	972	75
ENCFF137OGC	K562	XRCC3	A549	2959575	18142	25000	1139	26	10
ENCFF137QEJ	HepG2	ZSCAN21	A549	2959575	18142	25000	20169	5910	167
ENCFF137ZTF	HepG2	POLR2AphosphoS5	A549	2959575	18142	25000	29431	8105	225
ENCFF139FEW	HepG2	ZFHX3	A549	2959575	18142	25000	10320	1659	97
ENCFF139FMU	K562	HCFC1	A549	2959575	18142	25000	13060	4365	100
ENCFF139XIZ	HepG2	FUBP1	A549	2959575	18142	25000	4450	1191	33
ENCFF140PUO	HepG2	MAX	A549	2959575	18142	25000	14531	4623	100
ENCFF141CBF	MCF-7	TSC22D1	A549	2959575	18142	25000	5854	734	53
ENCFF141FYD	HepG2	RFX5	A549	2959575	18142	25000	7334	2074	78
ENCFF141HPL	K562	ZFP30	A549	2959575	18142	25000	875	81	6
ENCFF141IMM	HepG2	IRF9	A549	2959575	18142	25000	18246	5787	138
ENCFF141UZG	HepG2	ZNF543	A549	2959575	18142	25000	17970	5491	139
ENCFF142CUN	HepG2	ZNF496	A549	2959575	18142	25000	178	58	0
ENCFF142EQZ	K562	STAT2	A549	2959575	18142	25000	2704	507	20
ENCFF142MJD	K562	AFF4	A549	2959575	18142	25000	13558	4766	102
ENCFF142NAV	MCF-7	NFXL1	A549	2959575	18142	25000	1406	181	14
ENCFF142ZTD	K562	KLF10	A549	2959575	18142	25000	1071	165	11
ENCFF143MEF	K562	ILK	A549	2959575	18142	25000	1466	76	16
ENCFF143QCD	HepG2	ZNF749	A549	2959575	18142	25000	11694	4136	93
ENCFF144OPN	MCF-7	HES1	A549	2959575	18142	25000	4749	347	38
ENCFF144ZLB	K562	TSHZ1	A549	2959575	18142	25000	2650	344	24
ENCFF146GZZ	K562	ZBTB33	A549	2959575	18142	25000	3362	766	27
ENCFF147IAH	K562	MCM2	A549	2959575	18142	25000	222	44	0
ENCFF148RPN	HepG2	ZBTB24	A549	2959575	18142	25000	1528	454	4
ENCFF148YMC	K562	SMARCE1	A549	2959575	18142	25000	33975	4299	271
ENCFF149QHA	HepG2	ZBTB3	A549	2959575	18142	25000	9664	2950	78
ENCFF150NHK	HepG2	SMARCC2	A549	2959575	18142	25000	2470	435	15
ENCFF150PTQ	MCF-7	RFX1	A549	2959575	18142	25000	26431	3190	235
ENCFF154DSR	HepG2	ZSCAN5A	A549	2959575	18142	25000	12887	3543	101
ENCFF154IVU	K562	BHLHE40	A549	2959575	18142	25000	27825	4770	231
ENCFF154VTV	HepG2	GATA4	A549	2959575	18142	25000	13572	4080	109
