ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF390AZA	A549	ZC3H11A	K562	2959575	15496	25000	7979	119	69
ENCFF390VZU	HepG2	FIP1L1	K562	2959575	15496	25000	3449	685	30
ENCFF390XVX	A549	ETS1	K562	2959575	15496	25000	10098	2056	70
ENCFF391XMO	HepG2	ZNF562	K562	2959575	15496	25000	2073	305	11
ENCFF392INU	K562	ZBED1	K562	2959575	15496	25000	6056	2192	38
ENCFF392MAR	K562	TFCP2	K562	2959575	15496	25000	8680	2295	86
ENCFF393LUP	HepG2	EP300	K562	2959575	15496	25000	34051	2824	283
ENCFF395PJC	MCF-7	COPS2	K562	2959575	15496	25000	628	4	2
ENCFF396ZSB	HepG2	ZNF776	K562	2959575	15496	25000	13351	1643	118
ENCFF398TIE	HepG2	TGIF2	K562	2959575	15496	25000	20111	2623	132
ENCFF398UQZ	K562	YY1	K562	2959575	15496	25000	30746	6530	245
ENCFF399AJX	HepG2	NFKBIZ	K562	2959575	15496	25000	13806	1973	107
ENCFF399LOS	HepG2	NCOA1	K562	2959575	15496	25000	11101	1420	81
ENCFF399YOO	HepG2	ELK1	K562	2959575	15496	25000	9729	1617	76
ENCFF399ZUJ	A549	EHMT2	K562	2959575	15496	25000	2289	111	20
ENCFF401HSI	HepG2	FOSL2	K562	2959575	15496	25000	30456	2967	248
ENCFF401YUZ	MCF-7	GATAD2B	K562	2959575	15496	25000	1890	184	17
ENCFF404ASR	A549	NR2E3	K562	2959575	15496	25000	8108	1415	64
ENCFF404IUH	HepG2	ZNF264	K562	2959575	15496	25000	18676	2228	138
ENCFF405BKB	K562	PRDM10	K562	2959575	15496	25000	28438	5861	232
ENCFF405EGZ	K562	TBX18	K562	2959575	15496	25000	6179	2125	68
ENCFF405LDS	HepG2	EED	K562	2959575	15496	25000	12207	1386	103
ENCFF405UGF	HepG2	SKI	K562	2959575	15496	25000	31003	3349	241
ENCFF405YXO	HepG2	ZNF180	K562	2959575	15496	25000	2774	466	22
ENCFF405ZPR	K562	STAT1	K562	2959575	15496	25000	857	330	8
ENCFF407STM	K562	ZSCAN29	K562	2959575	15496	25000	4543	1216	40
ENCFF407WPM	HepG2	MEF2D	K562	2959575	15496	25000	22946	2915	170
ENCFF408CTC	HepG2	ZFP82	K562	2959575	15496	25000	11799	1621	82
ENCFF408NUX	K562	CHD1	K562	2959575	15496	25000	11260	2113	100
ENCFF408RSJ	K562	CDC5L	K562	2959575	15496	25000	4889	1274	35
ENCFF409BJK	HepG2	ZNF414	K562	2959575	15496	25000	17003	2240	130
ENCFF409PJJ	HepG2	ZNF12	K562	2959575	15496	25000	18504	1850	154
ENCFF409SDU	K562	RNF2	K562	2959575	15496	25000	4720	1450	37
ENCFF409YKQ	HepG2	GATA2	K562	2959575	15496	25000	22235	1839	185
ENCFF410RJD	K562	NRF1	K562	2959575	15496	25000	4442	1039	40
ENCFF410SWS	K562	TCFL5	K562	2959575	15496	25000	1992	801	22
ENCFF411GOS	HepG2	AKNA	K562	2959575	15496	25000	3778	621	25
ENCFF412WOK	K562	DNMT1	K562	2959575	15496	25000	2341	880	13
ENCFF413CKX	HepG2	GTF3A	K562	2959575	15496	25000	6833	1051	53
ENCFF413LLO	K562	POLR2G	K562	2959575	15496	25000	55335	5430	473
ENCFF413OMR	HepG2	ZNF280D	K562	2959575	15496	25000	20000	2338	142
ENCFF413PEE	HepG2	LCORL	K562	2959575	15496	25000	8745	582	58
ENCFF414GKA	HepG2	ZNF550	K562	2959575	15496	25000	5109	711	40
ENCFF415MKA	K562	TCF15	K562	2959575	15496	25000	3288	1273	27
ENCFF415YWK	HepG2	ZNF343	K562	2959575	15496	25000	13440	1778	108
ENCFF416TFM	K562	ZNF445	K562	2959575	15496	25000	2889	964	30
ENCFF417FFL	K562	RNF219	K562	2959575	15496	25000	1320	471	12
ENCFF417HLM	HepG2	ONECUT2	K562	2959575	15496	25000	10584	973	90
ENCFF417LFH	HepG2	MTERF4	K562	2959575	15496	25000	14121	1815	114
ENCFF419GHH	HepG2	SREBF2	K562	2959575	15496	25000	223	61	2
ENCFF421QJP	HepG2	ZBTB8A	K562	2959575	15496	25000	4468	709	27
ENCFF422MYG	HepG2	ZNF513	K562	2959575	15496	25000	2877	443	18
ENCFF422TZK	HepG2	BCL6	K562	2959575	15496	25000	40199	3413	336
ENCFF423CWQ	K562	ZBTB8A	K562	2959575	15496	25000	611	187	2
ENCFF424FZS	HepG2	BCL3	K562	2959575	15496	25000	17807	2243	128
ENCFF424GKS	HepG2	POLR2AphosphoS2	K562	2959575	15496	25000	6538	696	42
ENCFF424OWM	K562	PHB	K562	2959575	15496	25000	3429	878	27
ENCFF425JPL	HepG2	ZNF354B	K562	2959575	15496	25000	6543	958	58
ENCFF427GBB	HepG2	SRSF4	K562	2959575	15496	25000	2603	244	19
ENCFF427RSA	MCF-7	EGR1	K562	2959575	15496	25000	10074	1249	90
ENCFF427XNV	MCF-7	ELK1	K562	2959575	15496	25000	6469	1328	51
ENCFF428GSG	MCF-7	PPP1R10	K562	2959575	15496	25000	973	88	10
ENCFF428HNJ	HepG2	ZNF280B	K562	2959575	15496	25000	15712	1908	122
ENCFF428ZPS	HepG2	ZBTB14	K562	2959575	15496	25000	9844	1276	66
ENCFF430IPX	K562	ZNF395	K562	2959575	15496	25000	25095	7999	217
ENCFF430YXJ	K562	IRF2	K562	2959575	15496	25000	2177	128	18
ENCFF431BYW	HepG2	ARNT2	K562	2959575	15496	25000	21705	2882	172
ENCFF432HRL	K562	TAF9B	K562	2959575	15496	25000	15045	5457	123
ENCFF433ERT	K562	VEZF1	K562	2959575	15496	25000	46866	9930	404
ENCFF434IDL	MCF-7	E4F1	K562	2959575	15496	25000	2478	309	22
ENCFF435AEQ	HepG2	NKX3-1	K562	2959575	15496	25000	13156	1802	86
